Cafe Name,Time of Day,Estimated Speaker Age,Speaker Gender,Listener 1 Age,Listener1 Gender,Listener 2 Age,Listener 2 Gender,"Content Words (one word, not phrases)",Theme/Topic,"Formality (Informal, Neutral, Formal)",opt: clothing,opt: orders,opt: occupation,opt: native speaker?,Other notable details,,,,,,,,,,
Sprout Café,4:49PM - 9PM,37,Female,43,Male,N/A,N/A,Last night,Family,Neutral,"F: blazer, skirt M: nice jacket, jeans",Not noted,Unsure,"Both, yes",N/A,,,,,,,,,,
Sprout Café,4:49PM - 9PM,37,Female,43,Male,N/A,N/A,Dinner,Family,Neutral,"F: blazer, skirt M: nice jacket, jeans",Not noted,Unsure,"Both, yes",N/A,,,,,,,,,,
Sprout Café,4:49PM - 9PM,37,Female,43,Male,N/A,N/A,Mom,Family,Neutral,"F: blazer, skirt M: nice jacket, jeans",Not noted,Unsure,"Both, yes",N/A,,,,,,,,,,
Sprout Café,4:49PM - 9PM,37,Female,43,Male,N/A,N/A,Paper,Family,Neutral,"F: blazer, skirt M: nice jacket, jeans",Not noted,Unsure,"Both, yes",N/A,,,,,,,,,,
Sprout Café,4:49PM - 9PM,37,Female,43,Male,N/A,N/A,Package,Family,Neutral,"F: blazer, skirt M: nice jacket, jeans",Not noted,Unsure,"Both, yes",N/A,,,,,,,,,,
Sprout Café,4:49PM - 9PM,37,Female,43,Male,N/A,N/A,Rent,Family,Neutral,"F: blazer, skirt M: nice jacket, jeans",Not noted,Unsure,"Both, yes",N/A,,,,,,,,,,
Cafe Bistro,3:30 PM,35,Female,30,Female,30,Female,family,Trip to visit family,informal,casual,"Soup, salad, coffee",,,Familial relationship?,,,,,,,,,,
Cafe Bistro,3:30 PM,35,Female,30,Female,30,Female,visit,Trip to visit family,informal,casual,"Soup, salad, coffee",,,,,,,,,,,,,
Cafe Bistro,3:30 PM,35,Female,30,Female,30,Female,husband,Trip to visit family,informal,casual,"Soup, salad, coffee",,,,,,,,,,,,,
Cafe Bistro,3:30 PM,35,Female,30,Female,30,Female,driving,Trip to visit family,informal,casual,"Soup, salad, coffee",,,,,,,,,,,,,
Cafe Bistro,3:30 PM,35,Female,30,Female,30,Female,Colorado,Trip to visit family,informal,casual,"Soup, salad, coffee",,,,,,,,,,,,,
Cafe Bistro,3:30 PM,35,Female,30,Female,30,Female,dinner,Trip to visit family,informal,casual,"Soup, salad, coffee",,,,,,,,,,,,,
Cafe Bistro,3:30 PM,35,Female,30,Female,30,Female,cousins,Trip to visit family,informal,casual,"Soup, salad, coffee",,,,,,,,,,,,,
Cafe Bistro,3:30 PM,35,Female,30,Female,30,Female,relaxing,Trip to visit family,informal,casual,"Soup, salad, coffee",,,,,,,,,,,,,
Cafe Bistro,3:30 PM,35,Female,30,Female,30,Female,fun,Trip to visit family,informal,casual,"Soup, salad, coffee",,,,,,,,,,,,,
